aircraft_reg_num,Identifier,Flight.Number,Arr.Dep.Flag,New.Bay,TimeNow,Flht_Sch_Date_Frmt,CancelledFlight,delayMinutes,aircraftSwap,flightID,schd_dest,Flht_ETAETD_Date_Frmt,aircraft_reg_num_old,Conflict,IsFlagship,IsPartOfPair,aircraft_type,NewBay_prev,IsUSFlight,BestInsert,PaxConnBestInsert
A0WCF,EK0802_2016-12-28_A_05,EK0802,A,F19,28/12/2016 03:00,28/12/2016 05:30,0,0,,FL-EK-0802-20161228-JED-DXB-0,DXB,28/12/2016 05:30,A0WCF,1,0,0,B7773ER,F19,0,B01,267.4032022
A0WCF,EK0370_2016-12-28_D_07,EK0370,D,F20,28/12/2016 03:00,28/12/2016 07:45,0,15,,FL-EK-0370-20161228-DXB-BKK-0,BKK,28/12/2016 08:00,A0WCF,1,0,0,B7773ER,F20,0,A07,267.4032022
A0WCG,EK0133_2016-12-28_D_06,EK0133,D,C44,28/12/2016 03:00,28/12/2016 06:00,0,0,,FL-EK-0133-20161228-DXB-DME-0,DME,28/12/2016 06:00,A0WCG,0,0,0,B7773ER,C44,0,none,1.00E+10
A0WCH,EK0183_2016-12-28_D_04,EK0183,D,G16,28/12/2016 03:00,28/12/2016 04:20,0,180,,FL-EK-0183-20161228-DXB-BRU-0,BRU,28/12/2016 07:20,A0WCH,0,0,0,B7773ER,G16,0,none,1.00E+10
A0WCI,EK0542_2016-12-28_D_17,EK0542,D,F07,28/12/2016 03:00,28/12/2016 17:00,0,0,,FL-EK-0542-20161228-DXB-MAA-0,MAA,28/12/2016 17:00,A0WCI,0,0,0,B7773ER,F07,0,none,1.00E+10
A0WCI,EK0805_2016-12-28_D_03,EK0805,D,B25,28/12/2016 03:00,28/12/2016 03:05,0,0,,FL-EK-0805-20161228-DXB-JED-0,JED,28/12/2016 03:05,A0WCI,0,0,0,B7773ER,B25,0,none,1.00E+10
A0WCI,EK0806_2016-12-28_A_10,EK0806,A,D09,28/12/2016 03:00,28/12/2016 10:45,0,0,,FL-EK-0806-20161228-JED-DXB-0,DXB,28/12/2016 10:45,A0WCI,0,0,0,B7773ER,D09,0,none,1.00E+10
A0WCJ,EK0503_2016-12-28_A_16,EK0503,A,B18L,28/12/2016 03:00,28/12/2016 16:55,0,0,,FL-EK-0503-20161228-BOM-DXB-0,DXB,28/12/2016 16:55,A0WCJ,0,0,0,B7773ER,B18L,0,none,1.00E+10
A0WCJ,EK0502_2016-12-28_D_09,EK0502,D,F08,28/12/2016 03:00,28/12/2016 09:10,0,0,,FL-EK-0502-20161228-DXB-BOM-0,BOM,28/12/2016 09:10,A0WCJ,0,0,0,B7773ER,F08,0,none,1.00E+10
A0WCK,EK0770_2016-12-28_D_04,EK0770,D,C28,28/12/2016 03:00,28/12/2016 04:55,0,15,,FL-EK-0770-20161228-DXB-CPT-0,CPT,28/12/2016 05:10,A0WCK,0,0,0,B7773ER,C28,0,none,1.00E+10
A0WCL,EK0657_2016-12-28_A_08,EK0657,A,B26L,28/12/2016 03:00,28/12/2016 08:25,0,0,,FL-EK-0657-20161228-MLE-DXB-0,DXB,28/12/2016 08:25,A0WCL,1,0,0,B7773ER,B26L,0,A02,267.4032022
A0WCL,EK0648_2016-12-28_D_10,EK0648,D,B22,28/12/2016 03:00,28/12/2016 10:20,0,0,,FL-EK-0648-20161228-DXB-CMB-0,CMB,28/12/2016 10:20,A0WCL,1,0,0,B7773ER,B22,0,B17,333.8255149
A0WCM,EK0035_2016-12-28_D_03,EK0035,D,B18L,28/12/2016 03:00,28/12/2016 03:25,0,35,,FL-EK-0035-20161228-DXB-NCL-0,NCL,28/12/2016 04:00,A0WCM,1,0,0,B7773ER,B18L,0,A03,267.4032022
A0WCN,EK0953_2016-12-28_D_11,EK0953,D,F27,28/12/2016 03:00,28/12/2016 11:10,0,0,,FL-EK-0953-20161228-DXB-BEY-0,BEY,28/12/2016 11:10,A0WCN,0,0,0,B7773ER,F27,0,none,1.00E+10
A0WCN,EK0433_2016-12-28_A_09,EK0433,A,B18L,28/12/2016 03:00,28/12/2016 09:00,0,0,,FL-EK-0433-20161228-SIN-DXB-0,DXB,28/12/2016 09:00,A0WCN,1,0,0,B7773ER,B18L,0,A10,267.4032022
A0WCO,EK0163_2016-12-29_D_10,EK0163,D,HGR,28/12/2016 03:00,29/12/2016 10:35,0,0,,FL-EK-0163-20161229-DXB-DUB-0,DUB,29/12/2016 10:35,A0WCO,0,0,0,B7773ER,HGR,0,none,1.00E+10
A0WCO,EK0604_2016-12-28_D_21,EK0604,D,B16,28/12/2016 03:00,28/12/2016 21:05,0,0,,FL-EK-0604-20161229-DXB-KHI-0,KHI,28/12/2016 21:05,A0WCO,0,0,0,B7773ER,B16,0,none,1.00E+10
A0WCP,EK0164_2016-12-28_A_04,EK0164,A,B16,28/12/2016 03:00,28/12/2016 04:15,0,0,,FL-EK-0164-20161227-DUB-DXB-0,DXB,28/12/2016 04:15,A0WCP,0,0,0,B7773ER,B16,0,none,1.00E+10
A0WCP,EK0587_2016-12-28_A_18,EK0587,A,F25,28/12/2016 03:00,28/12/2016 18:10,0,5,,FL-EK-0587-20161228-DAC-DXB-0,DXB,28/12/2016 18:15,A0WCP,0,0,0,B7773ER,F25,0,none,1.00E+10
A0WCP,EK0586_2016-12-28_D_06,EK0586,D,F23,28/12/2016 03:00,28/12/2016 06:30,0,35,,FL-EK-0586-20161228-DXB-DAC-0,DAC,28/12/2016 07:05,A0WCP,1,0,0,B7773ER,F23,0,B01,267.4032022
