"flt_id"	"fltNum"	"depStn"	"arrStn"	"utcSTD"	"utcSTA"	"cancelled"	"utcEstOUT"	"utcEstIN"	"utcATD"	"utcATA"	"first"	"business"	"coach"	"ac_registration"
"FL-EK-0637-20161227-PEW-DXB-0"	"0637"	"PEW"	"DXB"	2016-12-27 03:00:00	2016-12-27 06:30:00	"false"	2016-12-27 03:00:00	2016-12-27 06:30:00	2016-12-27 03:00:00	2016-12-27 06:30:00	0	13	383	"A0WCA"
"FL-EK-0788-20161230-ABJ-ACC-0"	"0788"	"ABJ"	"ACC"	2016-12-30 16:05:00	2016-12-30 17:10:00	"false"	2016-12-30 16:05:00	2016-12-30 17:10:00	NA	NA	3	10	150	"A0WWL"
"FL-EK-0435-20161229-BNE-DXB-0"	"0435"	"BNE"	"DXB"	2016-12-29 10:45:00	2016-12-30 01:20:00	"false"	2016-12-29 10:45:00	2016-12-30 01:20:00	NA	NA	7	73	391	"A0WVK"
"FL-EK-0404-20161229-SIN-MEL-0"	"0404"	"SIN"	"MEL"	2016-12-29 14:40:00	2016-12-29 21:50:00	"false"	2016-12-29 14:40:00	2016-12-29 21:50:00	NA	NA	0	35	119	"A0WLS"
"FL-EK-0306-20161229-DXB-PEK-0"	"0306"	"DXB"	"PEK"	2016-12-29 23:30:00	2016-12-30 06:45:00	"false"	2016-12-29 23:30:00	2016-12-30 06:45:00	NA	NA	4	31	308	"A0WFY"
"FL-EK-0204-20161231-JFK-DXB-0"	"0204"	"JFK"	"DXB"	2016-12-31 15:40:00	2017-01-01 04:10:00	"false"	2016-12-31 15:40:00	2017-01-01 04:10:00	NA	NA	5	28	382	"A0WFG"
"FL-EK-0002-20161230-LHR-DXB-0"	"0002"	"LHR"	"DXB"	2016-12-30 13:40:00	2016-12-30 20:40:00	"false"	2016-12-30 13:40:00	2016-12-30 20:40:00	NA	NA	14	75	407	"A0WFX"
"FL-EK-0229-20161229-DXB-SEA-0"	"0229"	"DXB"	"SEA"	2016-12-29 05:25:00	2016-12-29 20:05:00	"false"	2016-12-29 05:25:00	2016-12-29 20:05:00	NA	NA	0	13	293	"A0WMR"
"FL-EK-0140-20161228-PRG-DXB-0"	"0140"	"PRG"	"DXB"	2016-12-28 14:15:00	2016-12-28 20:25:00	"false"	2016-12-28 14:15:00	2016-12-28 20:25:00	NA	NA	4	56	416	"A0WLT"
"FL-EK-0721-20161228-DXB-NBO-0"	"0721"	"DXB"	"NBO"	2016-12-28 12:10:00	2016-12-28 17:20:00	"false"	2016-12-28 12:10:00	2016-12-28 17:20:00	NA	NA	7	37	281	"A0WWH"
"FL-EK-0865-20161228-MCT-DXB-0"	"0865"	"MCT"	"DXB"	2016-12-28 15:10:00	2016-12-28 16:15:00	"false"	2016-12-28 15:10:00	2016-12-28 16:15:00	NA	NA	3	12	148	"A0WBL"
"FL-EK-0152-20161230-CPH-DXB-0"	"0152"	"CPH"	"DXB"	2016-12-30 13:20:00	2016-12-30 19:45:00	"false"	2016-12-30 13:20:00	2016-12-30 19:45:00	NA	NA	0	41	404	"A0WVV"
"FL-EK-0368-20161231-DXB-CGK-0"	"0368"	"DXB"	"CGK"	2016-12-31 15:05:00	2016-12-31 23:10:00	"false"	2016-12-31 15:05:00	2016-12-31 23:10:00	NA	NA	0	2	289	"A0WMS"
"FL-EK-0133-20161231-DXB-DME-0"	"0133"	"DXB"	"DME"	2016-12-31 06:00:00	2016-12-31 11:20:00	"false"	2016-12-31 06:00:00	2016-12-31 11:20:00	NA	NA	0	5	96	"A0WCK"
"FL-EK-2807-20161228-DXB-MED-0"	"2807"	"DXB"	"MED"	2016-12-28 21:15:00	2016-12-29 00:10:00	"false"	2016-12-28 21:15:00	2016-12-29 00:10:00	NA	NA	0	17	317	"A0WMI"
"FL-EK-0856-20161227-KWI-DXB-0"	"0856"	"KWI"	"DXB"	2016-12-27 06:55:00	2016-12-27 08:35:00	"false"	2016-12-27 06:55:00	2016-12-27 08:35:00	2016-12-27 06:55:00	2016-12-27 08:35:00	0	35	293	"A0WMX"
"FL-EK-0062-20161228-HAM-DXB-0"	"0062"	"HAM"	"DXB"	2016-12-28 20:00:00	2016-12-29 02:15:00	"false"	2016-12-28 20:00:00	2016-12-29 02:15:00	NA	NA	0	42	382	"A0WDR"
"FL-EK-0122-20161229-IST-DXB-0"	"0122"	"IST"	"DXB"	2016-12-29 17:05:00	2016-12-29 21:20:00	"false"	2016-12-29 17:05:00	2016-12-29 21:20:00	NA	NA	0	32	273	"A0WCX"
"FL-EK-0944-20161227-BGW-DXB-0"	"0944"	"BGW"	"DXB"	2016-12-27 12:50:00	2016-12-27 15:10:00	"false"	2016-12-27 12:50:00	2016-12-27 15:10:00	NA	NA	2	15	173	"A0WIH"
"FL-EK-0126-20161227-VIE-DXB-0"	"0126"	"VIE"	"DXB"	2016-12-27 21:00:00	2016-12-28 02:40:00	"false"	2016-12-27 21:00:00	2016-12-28 02:40:00	NA	NA	8	42	304	"A0WWB"
"FL-EK-0719-20161229-DXB-NBO-0"	"0719"	"DXB"	"NBO"	2016-12-29 06:35:00	2016-12-29 11:45:00	"false"	2016-12-29 06:35:00	2016-12-29 11:45:00	NA	NA	6	33	293	"A0WWG"
"FL-EK-0975-20161227-DXB-IKA-0"	"0975"	"DXB"	"IKA"	2016-12-27 22:25:00	2016-12-28 00:40:00	"false"	2016-12-27 22:25:00	2016-12-28 00:40:00	NA	NA	7	2	43	"A0WMN"
"FL-EK-0925-20161230-DXB-CAI-0"	"0925"	"DXB"	"CAI"	2016-12-30 16:50:00	2016-12-30 21:05:00	"false"	2016-12-30 16:50:00	2016-12-30 21:05:00	NA	NA	2	14	276	"A0WWS"
"FL-EK-0779-20161229-CPT-DXB-0"	"0779"	"CPT"	"DXB"	2016-12-29 18:00:00	2016-12-30 03:35:00	"false"	2016-12-29 18:00:00	2016-12-30 03:35:00	NA	NA	0	40	365	"A0WCP"
"FL-EK-0389-20161229-HAN-RGN-0"	"0389"	"HAN"	"RGN"	2016-12-29 15:45:00	2016-12-29 17:50:00	"false"	2016-12-29 15:45:00	2016-12-29 17:50:00	NA	NA	0	10	290	"A0WWQ"
"FL-EK-0852-20161227-DOH-DXB-0"	"0852"	"DOH"	"DXB"	2016-12-27 08:50:00	2016-12-27 09:55:00	"false"	2016-12-27 08:50:00	2016-12-27 09:55:00	2016-12-27 08:50:00	2016-12-27 09:55:00	5	9	162	"A0WCR"
"FL-EK-0770-20161230-DXB-CPT-0"	"0770"	"DXB"	"CPT"	2016-12-30 04:55:00	2016-12-30 14:30:00	"false"	2016-12-30 04:55:00	2016-12-30 14:30:00	NA	NA	6	33	272	"A0WMV"
"FL-EK-0529-20161229-HYD-DXB-0"	"0529"	"HYD"	"DXB"	2016-12-29 15:50:00	2016-12-29 19:59:00	"false"	2016-12-29 15:50:00	2016-12-29 19:59:00	NA	NA	8	41	302	"A0WGA"
