"Tail","FlightId","Origin","Destination","STD","STA","ETD","ETA","type"
"A0WCZ","EK0392","DXB","SGN","12/27/2016 05:40","12/27/2016 12:25","12/27/2016 05:40","12/27/2016 12:25","delayed"
"A0WCZ","EK0392","DXB","SGN","12/27/2016 05:40","12/27/2016 12:25","12/27/2016 05:40","12/27/2016 12:25","delayed"
"A0WCZ","EK0392","DXB","SGN","12/27/2016 05:40","12/27/2016 12:25","12/27/2016 05:40","12/27/2016 12:25","delayed"
"A0WCZ","EK0392","DXB","SGN","12/27/2016 05:40","12/27/2016 12:25","12/27/2016 05:40","12/27/2016 12:25","delayed"
"A0WCZ","EK0392","DXB","SGN","12/27/2016 05:40","12/27/2016 12:25","12/27/2016 05:40","12/27/2016 12:25","delayed"
"A0WCZ","EK0392","DXB","SGN","12/27/2016 05:40","12/27/2016 12:25","12/27/2016 05:40","12/27/2016 12:25","delayed"
"A0WVL","EK0424","DXB","PER","12/27/2016 06:45","12/27/2016 17:35","12/27/2016 06:45","12/27/2016 17:35","delayed"
"A0WVL","EK0424","DXB","PER","12/27/2016 06:45","12/27/2016 17:35","12/27/2016 06:45","12/27/2016 17:35","delayed"
"A0WVL","EK0424","DXB","PER","12/27/2016 06:45","12/27/2016 17:35","12/27/2016 06:45","12/27/2016 17:35","delayed"
"A0WVL","EK0424","DXB","PER","12/27/2016 06:45","12/27/2016 17:35","12/27/2016 06:45","12/27/2016 17:35","delayed"
"A0WVL","EK0424","DXB","PER","12/27/2016 06:45","12/27/2016 17:35","12/27/2016 06:45","12/27/2016 17:35","delayed"
"A0WVL","EK0424","DXB","PER","12/27/2016 06:45","12/27/2016 17:35","12/27/2016 06:45","12/27/2016 17:35","delayed"
"A0WVL","EK0424","DXB","PER","12/27/2016 06:45","12/27/2016 17:35","12/27/2016 06:45","12/27/2016 17:35","delayed"
"A0WCO","EK0586","DXB","DAC","12/27/2016 06:30","12/27/2016 10:55","12/27/2016 06:30","12/27/2016 10:55","delayed"
"A0WCO","EK0587","DAC","DXB","12/27/2016 12:40","12/27/2016 18:10","12/27/2016 12:40","12/27/2016 18:10","delayed"
"A0WCO","EK0586","DXB","DAC","12/27/2016 06:30","12/27/2016 10:55","12/27/2016 06:30","12/27/2016 10:55","delayed"
"A0WCO","EK0587","DAC","DXB","12/27/2016 12:40","12/27/2016 18:10","12/27/2016 12:40","12/27/2016 18:10","delayed"
"A0WCO","EK0586","DXB","DAC","12/27/2016 06:30","12/27/2016 10:55","12/27/2016 06:30","12/27/2016 10:55","delayed"
"A0WCO","EK0587","DAC","DXB","12/27/2016 12:40","12/27/2016 18:10","12/27/2016 12:40","12/27/2016 18:10","delayed"
"A0WCO","EK0586","DXB","DAC","12/27/2016 06:30","12/27/2016 10:55","12/27/2016 06:30","12/27/2016 10:55","delayed"
"A0WCO","EK0587","DAC","DXB","12/27/2016 12:40","12/27/2016 18:10","12/27/2016 12:40","12/27/2016 18:10","delayed"
"A0WCO","EK0586","DXB","DAC","12/27/2016 06:30","12/27/2016 10:55","12/27/2016 06:30","12/27/2016 10:55","delayed"
"A0WCO","EK0587","DAC","DXB","12/27/2016 12:40","12/27/2016 18:10","12/27/2016 12:40","12/27/2016 18:10","delayed"
"A0WCO","EK0586","DXB","DAC","12/27/2016 06:30","12/27/2016 10:55","12/27/2016 06:30","12/27/2016 10:55","delayed"
"A0WCO","EK0587","DAC","DXB","12/27/2016 12:40","12/27/2016 18:10","12/27/2016 12:40","12/27/2016 18:10","delayed"
"A0WCO","EK0586","DXB","DAC","12/27/2016 06:30","12/27/2016 10:55","12/27/2016 06:30","12/27/2016 10:55","delayed"
"A0WCO","EK0587","DAC","DXB","12/27/2016 12:40","12/27/2016 18:10","12/27/2016 12:40","12/27/2016 18:10","delayed"
"A0WBE","EK0606","DXB","KHI","12/27/2016 05:30","12/27/2016 07:35","12/27/2016 05:30","12/27/2016 07:35","delayed"
"A0WBE","EK0607","KHI","DXB","12/27/2016 09:05","12/27/2016 11:15","12/27/2016 09:05","12/27/2016 11:15","delayed"
"A0WBE","EK0606","DXB","KHI","12/27/2016 05:30","12/27/2016 07:35","12/27/2016 05:30","12/27/2016 07:35","delayed"
"A0WBE","EK0607","KHI","DXB","12/27/2016 09:05","12/27/2016 11:15","12/27/2016 09:05","12/27/2016 11:15","delayed"
"A0WBE","EK0606","DXB","KHI","12/27/2016 05:30","12/27/2016 07:35","12/27/2016 05:30","12/27/2016 07:35","delayed"
"A0WBE","EK0607","KHI","DXB","12/27/2016 09:05","12/27/2016 11:15","12/27/2016 09:05","12/27/2016 11:15","delayed"
"A0WBE","EK0606","DXB","KHI","12/27/2016 05:30","12/27/2016 07:35","12/27/2016 05:30","12/27/2016 07:35","delayed"
"A0WBE","EK0607","KHI","DXB","12/27/2016 09:05","12/27/2016 11:15","12/27/2016 09:05","12/27/2016 11:15","delayed"
"A0WBE","EK0606","DXB","KHI","12/27/2016 05:30","12/27/2016 07:35","12/27/2016 05:30","12/27/2016 07:35","delayed"
"A0WBE","EK0607","KHI","DXB","12/27/2016 09:05","12/27/2016 11:15","12/27/2016 09:05","12/27/2016 11:15","delayed"
"A0WBE","EK0606","DXB","KHI","12/27/2016 05:30","12/27/2016 07:35","12/27/2016 05:30","12/27/2016 07:35","delayed"
"A0WBE","EK0607","KHI","DXB","12/27/2016 09:05","12/27/2016 11:15","12/27/2016 09:05","12/27/2016 11:15","delayed"
"A0WBE","EK0606","DXB","KHI","12/27/2016 05:30","12/27/2016 07:35","12/27/2016 05:30","12/27/2016 07:35","delayed"
"A0WBE","EK0607","KHI","DXB","12/27/2016 09:05","12/27/2016 11:15","12/27/2016 09:05","12/27/2016 11:15","delayed"
"A0WCA","EK0637","PEW","DXB","12/27/2016 03:00","12/27/2016 06:30","12/27/2016 03:00","12/27/2016 06:30","delayed"
"A0WCA","EK0637","PEW","DXB","12/27/2016 03:00","12/27/2016 06:30","12/27/2016 03:00","12/27/2016 06:30","delayed"
"A0WCA","EK0637","PEW","DXB","12/27/2016 03:00","12/27/2016 06:30","12/27/2016 03:00","12/27/2016 06:30","delayed"
"A0WCA","EK0637","PEW","DXB","12/27/2016 03:00","12/27/2016 06:30","12/27/2016 03:00","12/27/2016 06:30","delayed"
"A0WCA","EK0637","PEW","DXB","12/27/2016 03:00","12/27/2016 06:30","12/27/2016 03:00","12/27/2016 06:30","delayed"
"A0WCA","EK0637","PEW","DXB","12/27/2016 03:00","12/27/2016 06:30","12/27/2016 03:00","12/27/2016 06:30","delayed"
