flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration
FL-EK-0248-20161228-GIG-DXB-0,248,GIG,DXB,28/12/2016 05:05,28/12/2016 18:45,FALSE,28/12/2016 05:05,28/12/2016 18:45,NA,NA,8,20,151,A0WDD
FL-EK-0262-20161227-GRU-DXB-0,262,GRU,DXB,27/12/2016 03:25,27/12/2016 17:15,FALSE,27/12/2016 03:25,27/12/2016 17:15,27/12/2016 03:25,NA,8,41,297,A0WMR
FL-EK-0367-20161230-TPE-DXB-0,367,TPE,DXB,30/12/2016 15:45,31/12/2016 01:45,FALSE,30/12/2016 15:45,31/12/2016 01:45,NA,NA,0,33,344,A0WLN
FL-EK-0362-20161231-DXB-CAN-0,362,DXB,CAN,31/12/2016 06:50,31/12/2016 13:45,FALSE,31/12/2016 06:50,31/12/2016 13:45,NA,NA,0,20,173,A0WVA
FL-EK-0513-20161230-DEL-DXB-0,513,DEL,DXB,30/12/2016 06:50,30/12/2016 10:40,FALSE,30/12/2016 06:50,30/12/2016 10:40,NA,NA,8,39,304,A0WBF
FL-EK-0722-20161227-NBO-DXB-0,722,NBO,DXB,27/12/2016 19:45,28/12/2016 00:45,FALSE,27/12/2016 19:45,28/12/2016 00:45,NA,NA,5,20,302,A0WWX
FL-EK-0140-20161230-PRG-DXB-0,140,PRG,DXB,30/12/2016 14:15,30/12/2016 20:25,FALSE,30/12/2016 14:15,30/12/2016 20:25,NA,NA,6,59,383,A0WVB
FL-EK-0162-20161228-DUB-DXB-0,162,DUB,DXB,28/12/2016 12:55,28/12/2016 20:25,FALSE,28/12/2016 12:55,28/12/2016 20:25,NA,NA,0,40,383,A0WCB
FL-EK-0864-20161230-DXB-MCT-0,864,DXB,MCT,30/12/2016 12:40,30/12/2016 13:55,FALSE,30/12/2016 12:40,30/12/2016 13:55,NA,NA,2,7,125,A0WGS
FL-EK-0303-20161231-PVG-DXB-0,303,PVG,DXB,31/12/2016 15:00,01/01/2017 01:15,FALSE,31/12/2016 15:00,01/01/2017 01:15,NA,NA,2,19,167,A0WLI
FL-EK-0517-20161228-DEL-DXB-0,517,DEL,DXB,28/12/2016 10:45,28/12/2016 14:35,FALSE,28/12/2016 10:45,28/12/2016 14:35,NA,NA,8,40,300,A0WMV
FL-EK-0538-20161231-DXB-AMD-0,538,DXB,AMD,31/12/2016 19:00,31/12/2016 21:30,FALSE,31/12/2016 19:00,31/12/2016 21:30,NA,NA,0,16,225,A0WIJ
