"Tail","FlightId","Origin","Destination","STD","STA","ETD","ETA","type"
"A0WMF","EK0795","CKY","DKR","12/28/2016 15:10","12/28/2016 16:35","12/28/2016 15:10","12/28/2016 16:35","unaffected"
"A0WMF","EK0795","DXB","CKY","12/28/2016 03:15","12/28/2016 13:30","12/28/2016 03:15","12/28/2016 13:30","unaffected"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:30","12/27/2016 15:45","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0035","DXB","NCL","12/28/2016 03:25","12/28/2016 11:20","12/28/2016 03:25","12/28/2016 11:20","unaffected"
"A0WCM","EK0776","DUR","DXB","12/27/2016 17:10","12/28/2016 01:25","12/27/2016 17:10","12/28/2016 01:25","unaffected"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
"A0WCM","EK0775","DXB","DUR","12/27/2016 06:40","12/27/2016 15:05","12/27/2016 07:30","12/27/2016 15:55","delayed"
