,flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration,new_flt_id
2445,FL-EK-0131-20161231-DXB-DME-0,131,DXB,DME,2016-12-31 13:30:00,2016-12-31 18:55:00,False,2016-12-31 13:30:00,2016-12-31 18:55:00,,,0,2,22,A0WNJ,20161231
2446,FL-EK-0833-20161227-DXB-BAH-0,833,DXB,BAH,2016-12-27 17:15:00,2016-12-27 18:30:00,False,2016-12-27 17:15:00,2016-12-27 18:30:00,,,0,4,71,A0WIH,20161227
2447,FL-EK-0805-20161229-DXB-JED-0,805,DXB,JED,2016-12-29 03:05:00,2016-12-29 06:10:00,False,2016-12-29 03:05:00,2016-12-29 06:10:00,,,0,16,267,A0WWW,20161229
2448,FL-EK-0020-20161228-MAN-DXB-0,20,MAN,DXB,2016-12-28 20:35:00,2016-12-29 03:45:00,False,2016-12-28 20:35:00,2016-12-29 03:45:00,,,0,57,551,A0WVV,20161228
2449,FL-EK-0701-20161229-DXB-MRU-0,701,DXB,MRU,2016-12-29 00:00:00,2016-12-29 06:40:00,False,2016-12-29 00:00:00,2016-12-29 06:40:00,,,8,75,407,A0WFQ,20161229
2450,FL-EK-0371-20161228-BKK-DXB-0,371,BKK,DXB,2016-12-28 19:00:00,2016-12-29 01:50:00,False,2016-12-28 19:00:00,2016-12-29 01:50:00,,,0,22,342,A0WCF,20161228
2451,FL-EK-0044-20161227-FRA-DXB-0,44,FRA,DXB,2016-12-27 08:40:00,2016-12-27 15:00:00,False,2016-12-27 08:40:00,2016-12-27 15:00:00,27/12/2016 08:40,,8,42,307,A0WGJ,20161227
2452,FL-EK-0726-20161227-DAR-DXB-0,726,DAR,DXB,2016-12-27 13:30:00,2016-12-27 19:05:00,False,2016-12-27 13:30:00,2016-12-27 19:05:00,,,1,27,255,A0WGI,20161227
2453,FL-EK-0733-20161231-DXB-KRT-0,733,DXB,KRT,2016-12-31 10:20:00,2016-12-31 14:40:00,False,2016-12-31 10:20:00,2016-12-31 14:40:00,,,2,4,96,A0WMW,20161231
2454,FL-EK-0352-20161231-DXB-SIN-0,352,DXB,SIN,2016-12-31 17:30:00,2017-01-01 00:30:00,False,2016-12-31 17:30:00,2017-01-01 00:30:00,,,7,21,298,A0WWX,20161231
2455,FL-EK-0706-20161228-SEZ-DXB-0,706,SEZ,DXB,2016-12-28 04:35:00,2016-12-28 09:10:00,False,2016-12-28 04:35:00,2016-12-28 09:10:00,,,3,10,150,A0WMX,20161228
2456,FL-EK-0955-20161231-DXB-BEY-0,955,DXB,BEY,2016-12-31 16:55:00,2016-12-31 21:20:00,False,2016-12-31 16:55:00,2016-12-31 21:20:00,,,0,5,32,A0WDP,20161231
2457,FL-EK-0204-20161228-JFK-DXB-0,204,JFK,DXB,2016-12-28 15:40:00,2016-12-29 04:10:00,False,2016-12-28 15:40:00,2016-12-29 04:10:00,,,13,72,385,A0WLM,20161228
2458,FL-EK-0449-20161230-AKL-DXB-0,449,AKL,DXB,2016-12-30 08:15:00,2016-12-31 01:40:00,False,2016-12-30 08:15:00,2016-12-31 01:40:00,,,5,65,351,A0WVJ,20161230
2459,FL-EK-0621-20161227-SKT-DXB-0,621,SKT,DXB,2016-12-27 07:10:00,2016-12-27 10:45:00,False,2016-12-27 07:10:00,2016-12-27 10:45:00,27/12/2016 07:10,27/12/2016 10:45,0,38,307,A0WCJ,20161227
2460,FL-EK-0525-20161230-HYD-DXB-0,525,HYD,DXB,2016-12-30 22:40:00,2016-12-31 02:40:00,False,2016-12-30 22:40:00,2016-12-31 02:40:00,,,0,35,373,A0WCO,20161230
2461,FL-EK-0073-20161230-DXB-CDG-0,73,DXB,CDG,2016-12-30 03:50:00,2016-12-30 11:25:00,False,2016-12-30 03:50:00,2016-12-30 11:25:00,,,0,61,376,A0WFU,20161230
2462,FL-EK-0764-20161231-JNB-DXB-0,764,JNB,DXB,2016-12-31 17:05:00,2017-01-01 01:05:00,False,2016-12-31 17:05:00,2017-01-01 01:05:00,,,4,21,296,A0WMV,20161231
2463,FL-EK-0040-20161227-BHX-DXB-0,40,BHX,DXB,2016-12-27 13:30:00,2016-12-27 20:35:00,False,2016-12-27 13:30:00,2016-12-27 20:35:00,,,0,75,422,A0WLP,20161227
2464,FL-EK-0303-20161230-PVG-DXB-0,303,PVG,DXB,2016-12-30 15:00:00,2016-12-31 01:15:00,False,2016-12-30 15:00:00,2016-12-31 01:15:00,,,4,32,378,A0WLJ,20161230
2465,FL-EK-0505-20161227-BOM-DXB-0,505,BOM,DXB,2016-12-27 04:55:00,2016-12-27 08:10:00,False,2016-12-27 04:55:00,2016-12-27 08:10:00,27/12/2016 04:55,27/12/2016 08:10,12,38,304,A0WBC,20161227
2466,FL-EK-0529-20161231-HYD-DXB-0,529,HYD,DXB,2016-12-31 15:50:00,2016-12-31 19:59:00,False,2016-12-31 15:50:00,2016-12-31 19:59:00,,,1,40,301,A0WWZ,20161231
2467,FL-EK-0901-20161228-DXB-AMM-0,901,DXB,AMM,2016-12-28 04:00:00,2016-12-28 07:40:00,False,2016-12-28 04:00:00,2016-12-28 07:40:00,,,1,11,223,A0WWC,20161228
2468,FL-EK-0600-20161231-DXB-KHI-0,600,DXB,KHI,2016-12-31 03:30:00,2016-12-31 05:35:00,False,2016-12-31 03:30:00,2016-12-31 05:35:00,,,0,33,361,A0WGG,20161231
2469,FL-EK-0180-20161229-WAW-DXB-0,180,WAW,DXB,2016-12-29 12:25:00,2016-12-29 18:05:00,False,2016-12-29 12:25:00,2016-12-29 18:05:00,,,8,42,309,A0WCR,20161229
2470,FL-EK-0229-20161228-DXB-SEA-0,229,DXB,SEA,2016-12-28 05:25:00,2016-12-28 20:05:00,False,2016-12-28 05:25:00,2016-12-28 20:05:00,,,1,10,303,A0WMJ,20161228
2471,FL-EK-0383-20161227-HKG-DXB-0,383,HKG,DXB,2016-12-27 09:55:00,2016-12-27 19:05:00,False,2016-12-27 09:55:00,2016-12-27 19:05:00,27/12/2016 09:55,,3,39,151,A0WFA,20161227
2472,FL-EK-0021-20161228-DXB-MAN-0,21,DXB,MAN,2016-12-28 23:00:00,2016-12-29 07:00:00,False,2016-12-28 23:00:00,2016-12-29 07:00:00,,,0,24,291,A0WGK,20161228
2473,FL-EK-0840-20161227-BAH-DXB-0,840,BAH,DXB,2016-12-27 14:45:00,2016-12-27 16:00:00,False,2016-12-27 14:45:00,2016-12-27 16:00:00,,,2,14,167,A0WDC,20161227
2474,FL-EK-0312-20161230-DXB-HND-0,312,DXB,HND,2016-12-30 04:35:00,2016-12-30 13:45:00,False,2016-12-30 04:35:00,2016-12-30 13:45:00,,,1,21,96,A0WIK,20161230
2475,FL-EK-0834-20161227-BAH-DXB-0,834,BAH,DXB,2016-12-27 19:50:00,2016-12-27 21:15:00,False,2016-12-27 19:50:00,2016-12-27 21:15:00,,,0,0,1,A0WIH,20161227
2476,FL-EK-0107-20161231-DXB-LCA-0,107,DXB,LCA,2016-12-31 03:50:00,2016-12-31 08:20:00,False,2016-12-31 03:50:00,2016-12-31 08:20:00,,,4,9,45,A0WCG,20161231
2477,FL-EK-0076-20161228-CDG-DXB-0,76,CDG,DXB,2016-12-28 20:35:00,2016-12-29 03:20:00,False,2016-12-28 20:35:00,2016-12-29 03:20:00,,,14,74,425,A0WLG,20161228
2478,FL-EK-0978-20161229-IKA-DXB-0,978,IKA,DXB,2016-12-29 21:25:00,2016-12-29 23:45:00,False,2016-12-29 21:25:00,2016-12-29 23:45:00,,,0,12,45,A0WIR,20161229
2479,FL-EK-0641-20161229-KBL-DXB-0,641,KBL,DXB,2016-12-29 12:00:00,2016-12-29 15:05:00,False,2016-12-29 12:00:00,2016-12-29 15:05:00,,,1,38,285,A0WGY,20161229
2480,FL-EK-0654-20161230-DXB-CMB-0,654,DXB,CMB,2016-12-30 05:05:00,2016-12-30 09:20:00,False,2016-12-30 05:05:00,2016-12-30 09:20:00,,,3,36,269,A0WGP,20161230
2481,FL-EK-0082-20161230-LYS-DXB-0,82,LYS,DXB,2016-12-30 19:55:00,2016-12-31 02:15:00,False,2016-12-30 19:55:00,2016-12-31 02:15:00,,,6,40,300,A0WDS,20161230
2482,FL-EK-0527-20161231-HYD-DXB-0,527,HYD,DXB,2016-12-31 04:45:00,2016-12-31 08:40:00,False,2016-12-31 04:45:00,2016-12-31 08:40:00,,,7,33,293,A0WMY,20161231
2483,FL-EK-0837-20161231-DXB-BAH-0,837,DXB,BAH,2016-12-31 04:30:00,2016-12-31 05:45:00,False,2016-12-31 04:30:00,2016-12-31 05:45:00,,,1,30,133,A0WBF,20161231
2484,FL-EK-0734-20161231-KRT-DXB-0,734,KRT,DXB,2016-12-31 16:50:00,2016-12-31 20:55:00,False,2016-12-31 16:50:00,2016-12-31 20:55:00,,,2,16,211,A0WMW,20161231
2485,FL-EK-0308-20161227-DXB-PEK-0,308,DXB,PEK,2016-12-27 07:10:00,2016-12-27 14:30:00,False,2016-12-27 07:10:00,2016-12-27 14:30:00,27/12/2016 07:10,,3,25,285,A0WGD,20161227
2486,FL-EK-0726-20161229-DAR-DXB-0,726,DAR,DXB,2016-12-29 13:30:00,2016-12-29 19:05:00,False,2016-12-29 13:30:00,2016-12-29 19:05:00,,,2,38,262,A0WMI,20161229
2487,FL-EK-0838-20161229-BAH-DXB-0,838,BAH,DXB,2016-12-29 06:50:00,2016-12-29 08:00:00,False,2016-12-29 06:50:00,2016-12-29 08:00:00,,,0,45,302,A0WBS,20161229
